event_id,event_name,event_type,timestamp,user_id,persona,src_ip,domain_name,city,country,os,user_agent,device_type,login_type,tls_version,records_accessed,query_complexity,is_admin_action,label,scenario,reconstruction_error,interestingness_score,reasons,is_interesting
evt_test_00231,ReportExport,data_access,2026-03-25T18:47:09+00:00,u_normal_sql_001,normal_sql_user,10.12.9.162,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.2,182,5,False,0,benign,0.08058866,56.96,"{""model_reconstruction_error"": {""ratio"": 1.05, ""threshold"": 0.076474, ""value"": 0.080589}}",False
evt_test_00232,SOQLQuery,query,2026-03-26T14:20:50+00:00,u_normal_sql_001,normal_sql_user,10.12.8.68,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.2,198,2,False,0,benign,0.040941503,34.84,{},False
evt_test_00233,DashboardView,data_access,2026-03-27T17:32:12+00:00,u_normal_sql_001,normal_sql_user,10.12.9.80,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,34,0,False,0,benign,0.065269805,49.48,{},False
evt_test_00234,SOQLQuery,query,2026-03-28T13:59:20+00:00,u_normal_sql_001,normal_sql_user,10.12.8.104,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,253,3,False,0,benign,0.026098248,23.89,{},False
evt_test_00235,SOQLQuery,query,2026-03-15T17:04:00+00:00,u_normal_sql_001,normal_sql_user,10.12.9.60,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,138,2,False,0,benign,0.03430295,30.15,{},False
evt_test_00236,SOQLQuery,query,2026-03-16T14:05:40+00:00,u_normal_sql_001,normal_sql_user,10.12.8.76,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.2,63,2,False,0,benign,0.040785063,34.73,{},False
evt_test_00237,Logout,auth,2026-03-17T14:46:54+00:00,u_normal_sql_001,normal_sql_user,10.12.8.19,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,20,0,False,0,benign,0.047849145,39.38,{},False
evt_test_00238,SOQLQuery,query,2026-03-18T09:00:45+00:00,u_normal_sql_001,normal_sql_user,10.12.8.184,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,160,4,False,0,benign,0.024601893,22.69,{},False
evt_test_00239,SOQLQuery,query,2026-03-19T10:47:49+00:00,u_normal_sql_001,normal_sql_user,10.12.9.192,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,207,3,False,0,benign,0.029761387,26.75,{},False
evt_test_00240,SOQLQuery,query,2026-03-20T15:29:32+00:00,u_normal_sql_001,normal_sql_user,10.12.9.19,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,297,6,False,0,benign,0.021249514,19.93,{},False
evt_test_00241,SOQLQuery,query,2026-03-21T16:00:02+00:00,u_normal_sql_001,normal_sql_user,10.12.8.67,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,117,2,False,0,benign,0.024098938,22.28,{},False
evt_test_00242,Logout,auth,2026-03-22T11:26:58+00:00,u_normal_sql_001,normal_sql_user,10.12.9.74,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.2,21,0,False,0,benign,0.06301566,48.27,{},False
evt_test_00243,Login,auth,2026-03-23T09:56:29+00:00,u_normal_sql_001,normal_sql_user,10.12.9.203,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.2,26,0,False,0,benign,0.049969602,40.71,{},False
evt_test_00244,SOQLQuery,query,2026-03-24T17:50:19+00:00,u_normal_sql_001,normal_sql_user,10.12.8.123,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,110,2,False,0,benign,0.022169089,20.7,{},False
evt_test_00245,Logout,auth,2026-03-25T11:34:22+00:00,u_normal_sql_001,normal_sql_user,10.12.8.90,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,2,0,False,0,benign,0.032429453,28.77,{},False
evt_test_00246,Login,auth,2026-03-26T08:09:45+00:00,u_normal_sql_001,normal_sql_user,10.12.9.28,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,32,0,False,0,benign,0.046128012,38.28,{},False
evt_test_00247,DashboardView,data_access,2026-03-27T10:40:52+00:00,u_normal_sql_001,normal_sql_user,10.12.9.24,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,33,0,False,0,benign,0.05158425,41.7,{},False
evt_test_00248,SOQLQuery,query,2026-03-28T14:44:53+00:00,u_normal_sql_001,normal_sql_user,10.12.9.86,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.2,229,4,False,0,benign,0.05814177,45.57,{},False
evt_test_00249,Logout,auth,2026-03-15T15:29:20+00:00,u_normal_sql_001,normal_sql_user,10.12.9.35,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,11,0,False,0,benign,0.042561587,35.93,{},False
evt_test_00250,SOQLQuery,query,2026-03-16T18:19:52+00:00,u_normal_sql_001,normal_sql_user,10.12.8.60,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,96,1,False,0,benign,0.042045332,35.59,{},False
evt_test_00251,SOQLQuery,query,2026-03-17T18:19:16+00:00,u_normal_sql_001,normal_sql_user,10.12.8.12,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.3,425,4,False,0,benign,0.024259388,22.41,{},False
evt_test_00252,Login,auth,2026-03-18T08:03:53+00:00,u_normal_sql_001,normal_sql_user,10.12.8.38,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,8,0,False,0,benign,0.031158095,27.82,{},False
evt_test_00253,Login,auth,2026-03-19T11:57:41+00:00,u_normal_sql_001,normal_sql_user,10.12.9.212,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,5,0,False,0,benign,0.04419541,37.02,{},False
evt_test_00254,DashboardView,data_access,2026-03-20T10:59:36+00:00,u_normal_sql_001,normal_sql_user,10.12.9.215,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.2,4,0,False,0,benign,0.066581644,50.17,{},False
evt_test_00255,Logout,auth,2026-03-21T12:28:56+00:00,u_normal_sql_001,normal_sql_user,10.12.8.13,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,18,0,False,0,benign,0.040127266,34.28,{},False
evt_test_00256,ConnectedAppOAuth,auth,2026-03-22T10:26:12+00:00,u_normal_sql_001,normal_sql_user,10.12.8.166,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,25,0,False,0,benign,0.034798324,30.51,{},False
evt_test_00257,SOQLQuery,query,2026-03-23T14:17:11+00:00,u_normal_sql_001,normal_sql_user,10.12.8.86,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,119,2,False,0,benign,0.026935536,24.56,{},False
evt_test_00258,Login,auth,2026-03-24T09:15:42+00:00,u_normal_sql_001,normal_sql_user,10.12.8.73,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,11,0,False,0,benign,0.04065462,34.64,{},False
evt_test_00259,ConnectedAppOAuth,auth,2026-03-25T17:20:51+00:00,u_normal_sql_001,normal_sql_user,10.12.9.238,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,16,0,False,0,benign,0.033258267,29.38,{},False
evt_test_00260,Logout,auth,2026-03-26T08:05:03+00:00,u_normal_sql_001,normal_sql_user,10.12.8.159,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,32,0,False,0,benign,0.047659613,39.26,{},False
evt_test_00261,ReportExport,data_access,2026-03-27T13:03:01+00:00,u_normal_sql_001,normal_sql_user,10.12.8.155,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,229,0,False,0,benign,0.069843926,51.84,{},False
evt_test_00262,Login,auth,2026-03-28T12:20:08+00:00,u_normal_sql_001,normal_sql_user,10.12.8.192,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.3,22,0,False,0,benign,0.04417488,37.01,{},False
evt_test_00263,SOQLQuery,query,2026-03-15T14:19:46+00:00,u_normal_sql_001,normal_sql_user,10.12.9.37,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,79,2,False,0,benign,0.031892832,28.37,{},False
evt_test_00264,ConnectedAppOAuth,auth,2026-03-16T11:40:36+00:00,u_normal_sql_001,normal_sql_user,10.12.8.132,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,40,0,False,0,benign,0.03042957,27.26,{},False
evt_test_00265,SOQLQuery,query,2026-03-17T18:40:46+00:00,u_normal_sql_001,normal_sql_user,10.12.9.119,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.2,119,3,False,0,benign,0.028143773,25.5,{},False
evt_test_00266,DashboardView,data_access,2026-03-18T14:28:46+00:00,u_normal_sql_001,normal_sql_user,10.12.9.47,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,4,0,False,0,benign,0.048164595,39.58,{},False
evt_test_00267,SOQLQuery,query,2026-03-19T17:41:48+00:00,u_normal_sql_001,normal_sql_user,10.12.8.46,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,104,2,False,0,benign,0.0246098,22.7,{},False
evt_test_00268,SOQLQuery,query,2026-03-20T09:04:21+00:00,u_normal_sql_001,normal_sql_user,10.12.8.232,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,183,2,False,0,benign,0.01837242,17.49,{},False
evt_test_00269,Login,auth,2026-03-21T18:10:38+00:00,u_normal_sql_001,normal_sql_user,10.12.9.45,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,28,0,False,0,benign,0.052154258,42.05,{},False
evt_test_00270,ConnectedAppOAuth,auth,2026-03-22T09:03:25+00:00,u_normal_sql_001,normal_sql_user,10.12.9.44,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.2,16,0,False,0,benign,0.061476238,47.43,{},False
evt_test_00271,SOQLQuery,query,2026-03-23T08:13:10+00:00,u_normal_sql_001,normal_sql_user,10.12.9.25,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,108,4,False,0,benign,0.019958684,18.84,{},False
evt_test_00272,SOQLQuery,query,2026-03-24T18:34:24+00:00,u_normal_sql_001,normal_sql_user,10.12.8.99,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.2,344,3,False,0,benign,0.042297114,35.76,{},False
evt_test_00273,SOQLQuery,query,2026-03-25T11:53:17+00:00,u_normal_sql_001,normal_sql_user,10.12.8.43,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,125,0,False,0,benign,0.032629758,28.92,{},False
evt_test_00274,ConnectedAppOAuth,auth,2026-03-26T14:34:43+00:00,u_normal_sql_001,normal_sql_user,10.12.9.151,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,34,0,False,0,benign,0.030502092,27.32,{},False
evt_test_00275,SOQLQuery,query,2026-03-27T15:11:10+00:00,u_normal_sql_001,normal_sql_user,10.12.8.211,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,137,3,False,0,benign,0.03545543,30.99,{},False
evt_test_00276,Login,auth,2026-03-30T17:16:20+00:00,u_normal_sql_001,normal_sql_user,203.0.113.42,mycompany.my.salesforce.com,Moscow,RU,Linux,Mozilla/5.0 Linux Firefox,desktop,Password,TLS1.0,167,3,False,1,foreign_country_login,0.09720442,100.0,"{""model_reconstruction_error"": {""ratio"": 1.27, ""threshold"": 0.076474, ""value"": 0.097204}, ""unusual_city"": {""normal_values"": [""Chicago""], ""value"": ""Moscow""}, ""unusual_country"": {""normal_values"": [""US""], ""value"": ""RU""}, ""unusual_os"": {""normal_values"": [""Windows"", ""macOS""], ""value"": ""Linux""}, ""unusual_tls_version"": {""normal_values"": [""TLS1.2"", ""TLS1.3""], ""value"": ""TLS1.0""}}",True
evt_test_00277,BulkDataExport,data_export,2026-03-31T10:36:37+00:00,u_normal_sql_001,normal_sql_user,203.0.113.42,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,6300,2,False,1,mass_export,0.7272794,99.95,"{""high_records_accessed"": {""normal_mean"": 117.7, ""normal_p95"": 349.4, ""normal_std"": 116.0, ""value"": 6300.0, ""z_score"": 53.3}, ""model_reconstruction_error"": {""ratio"": 9.51, ""threshold"": 0.076474, ""value"": 0.727279}}",True
evt_test_00278,ConnectedAppOAuth,auth,2026-04-01T10:17:25+00:00,u_normal_sql_001,normal_sql_user,203.0.113.42,evil-connected-app.example,Unknown,Unknown,macOS,Mozilla/5.0 macOS Safari,laptop,OAuth,TLS1.3,3,0,False,1,suspicious_oauth,0.074122496,100.0,"{""unusual_city"": {""normal_values"": [""Chicago""], ""value"": ""Unknown""}, ""unusual_country"": {""normal_values"": [""US""], ""value"": ""Unknown""}, ""unusual_domain_name"": {""normal_values"": [""login.salesforce.com"", ""mycompany.my.salesforce.com""], ""value"": ""evil-connected-app.example""}, ""unusual_login_type"": {""normal_values"": [""Password"", ""SSO""], ""value"": ""OAuth""}}",True
evt_test_00279,Login,auth,2026-04-02T13:52:50+00:00,u_normal_sql_001,normal_sql_user,45.83.12.44,mycompany.my.salesforce.com,Moscow,RU,Linux,Mozilla/5.0 Linux Firefox,desktop,Password,TLS1.0,2,0,False,1,foreign_country_login,0.106890224,100.0,"{""model_reconstruction_error"": {""ratio"": 1.4, ""threshold"": 0.076474, ""value"": 0.10689}, ""public_or_unfamiliar_ip"": {""normal_private_ip_rate"": 1.0, ""src_ip"": ""45.83.12.44""}, ""unusual_city"": {""normal_values"": [""Chicago""], ""value"": ""Moscow""}, ""unusual_country"": {""normal_values"": [""US""], ""value"": ""RU""}, ""unusual_os"": {""normal_values"": [""Windows"", ""macOS""], ""value"": ""Linux""}, ""unusual_tls_version"": {""normal_values"": [""TLS1.2"", ""TLS1.3""], ""value"": ""TLS1.0""}}",True
evt_test_00280,BulkDataExport,data_export,2026-04-03T12:46:26+00:00,u_normal_sql_001,normal_sql_user,198.51.100.19,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,6300,2,False,1,mass_export,0.74621123,99.96,"{""high_records_accessed"": {""normal_mean"": 117.7, ""normal_p95"": 349.4, ""normal_std"": 116.0, ""value"": 6300.0, ""z_score"": 53.3}, ""model_reconstruction_error"": {""ratio"": 9.76, ""threshold"": 0.076474, ""value"": 0.746211}}",True
evt_test_00281,ConnectedAppOAuth,auth,2026-04-04T16:25:08+00:00,u_normal_sql_001,normal_sql_user,185.199.108.77,evil-connected-app.example,Unknown,Unknown,Windows,Mozilla/5.0 Windows Chrome,desktop,OAuth,TLS1.3,20,0,False,1,suspicious_oauth,0.095952995,100.0,"{""model_reconstruction_error"": {""ratio"": 1.25, ""threshold"": 0.076474, ""value"": 0.095953}, ""public_or_unfamiliar_ip"": {""normal_private_ip_rate"": 1.0, ""src_ip"": ""185.199.108.77""}, ""unusual_city"": {""normal_values"": [""Chicago""], ""value"": ""Unknown""}, ""unusual_country"": {""normal_values"": [""US""], ""value"": ""Unknown""}, ""unusual_domain_name"": {""normal_values"": [""login.salesforce.com"", ""mycompany.my.salesforce.com""], ""value"": ""evil-connected-app.example""}, ""unusual_login_type"": {""normal_values"": [""Password"", ""SSO""], ""value"": ""OAuth""}}",True
evt_test_00282,Login,auth,2026-04-05T12:23:52+00:00,u_normal_sql_001,normal_sql_user,185.199.108.77,mycompany.my.salesforce.com,Moscow,RU,Linux,Mozilla/5.0 Linux Firefox,desktop,Password,TLS1.0,155,4,False,1,foreign_country_login,0.11414056,100.0,"{""model_reconstruction_error"": {""ratio"": 1.49, ""threshold"": 0.076474, ""value"": 0.114141}, ""public_or_unfamiliar_ip"": {""normal_private_ip_rate"": 1.0, ""src_ip"": ""185.199.108.77""}, ""unusual_city"": {""normal_values"": [""Chicago""], ""value"": ""Moscow""}, ""unusual_country"": {""normal_values"": [""US""], ""value"": ""RU""}, ""unusual_os"": {""normal_values"": [""Windows"", ""macOS""], ""value"": ""Linux""}, ""unusual_tls_version"": {""normal_values"": [""TLS1.2"", ""TLS1.3""], ""value"": ""TLS1.0""}}",True
evt_test_00283,BulkDataExport,data_export,2026-04-06T17:35:22+00:00,u_normal_sql_001,normal_sql_user,198.51.100.19,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,6300,2,False,1,mass_export,0.74331445,99.96,"{""high_records_accessed"": {""normal_mean"": 117.7, ""normal_p95"": 349.4, ""normal_std"": 116.0, ""value"": 6300.0, ""z_score"": 53.3}, ""model_reconstruction_error"": {""ratio"": 9.72, ""threshold"": 0.076474, ""value"": 0.743314}}",True
evt_test_00504,Logout,auth,2026-03-15T12:48:47+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.87,mycompany.my.salesforce.com,San Francisco,US,iOS,SalesforceMobileSDK iOS,mobile,OAuth,TLS1.3,31,0,False,0,benign,0.051311962,41.54,{},False
evt_test_00505,Login,auth,2026-03-16T21:32:33+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.125,mycompany.my.salesforce.com,New York,US,macOS,Mozilla/5.0 macOS Safari,laptop,OAuth,TLS1.3,29,0,False,0,benign,0.04246362,35.87,"{""login_hour_deviation"": {""circular_hour_distance"": 7.11, ""normal_mean_hour"": 13.89, ""value"": 21}}",False
evt_test_00506,Login,auth,2026-03-17T18:57:11+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.24,login.salesforce.com,Boston,US,macOS,Mozilla/5.0 macOS Safari,mobile,SSO,TLS1.3,6,0,False,0,benign,0.04010757,34.27,{},False
evt_test_00507,ConnectedAppOAuth,auth,2026-03-18T19:43:34+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.126,mycompany.my.salesforce.com,Boston,US,iOS,SalesforceMobileSDK iOS,mobile,OAuth,TLS1.3,19,0,False,0,benign,0.04277085,36.07,{},False
evt_test_00508,DashboardView,data_access,2026-03-19T22:41:21+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.153,mycompany.my.salesforce.com,Boston,US,iOS,SalesforceMobileSDK iOS,mobile,OAuth,TLS1.3,15,0,False,0,benign,0.055853955,44.25,"{""login_hour_deviation"": {""circular_hour_distance"": 8.11, ""normal_mean_hour"": 13.89, ""value"": 22}}",False
evt_test_00509,ConnectedAppOAuth,auth,2026-03-20T11:50:16+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.128,mycompany.my.salesforce.com,Austin,US,macOS,Mozilla/5.0 macOS Safari,mobile,OAuth,TLS1.3,20,0,False,0,benign,0.04862378,39.87,{},False
evt_test_00510,SOQLQuery,query,2026-03-21T11:39:59+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.187,mycompany.my.salesforce.com,San Francisco,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.3,96,1,False,0,benign,0.05850514,45.77,{},False
evt_test_00511,Logout,auth,2026-03-22T16:36:08+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.71,mycompany.my.salesforce.com,Boston,US,iOS,SalesforceMobileSDK iOS,mobile,SSO,TLS1.2,3,0,False,0,benign,0.069415405,51.62,{},False
evt_test_00512,DashboardView,data_access,2026-03-23T11:34:19+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.240,login.salesforce.com,San Francisco,US,iOS,SalesforceMobileSDK iOS,laptop,OAuth,TLS1.3,29,0,False,0,benign,0.06122708,47.3,{},False
evt_test_00513,ConnectedAppOAuth,auth,2026-03-24T22:21:41+00:00,u_sales_traveler_002,traveling_sales_rep,172.16.4.80,mycompany.my.salesforce.com,San Francisco,US,iOS,SalesforceMobileSDK iOS,mobile,OAuth,TLS1.3,35,0,False,0,benign,0.051752824,41.81,"{""login_hour_deviation"": {""circular_hour_distance"": 8.11, ""normal_mean_hour"": 13.89, ""value"": 22}}",False
evt_test_00514,Logout,auth,2026-03-25T07:08:43+00:00,u_sales_traveler_002,traveling_sales_rep,172.16.4.34,mycompany.my.salesforce.com,Austin,US,macOS,Mozilla/5.0 macOS Safari,mobile,SSO,TLS1.3,31,0,False,0,benign,0.045851327,38.1,"{""login_hour_deviation"": {""circular_hour_distance"": 6.89, ""normal_mean_hour"": 13.89, ""value"": 7}}",False
evt_test_00515,ConnectedAppOAuth,auth,2026-03-26T12:37:33+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.205,mycompany.my.salesforce.com,San Francisco,US,iOS,SalesforceMobileSDK iOS,laptop,SSO,TLS1.2,4,0,False,0,benign,0.07228757,53.06,{},False
evt_test_00516,ConnectedAppOAuth,auth,2026-03-27T16:38:38+00:00,u_sales_traveler_002,traveling_sales_rep,172.16.4.19,mycompany.my.salesforce.com,New York,US,macOS,Mozilla/5.0 macOS Safari,mobile,OAuth,TLS1.2,32,0,False,0,benign,0.06983579,51.84,{},False
evt_test_00517,DashboardView,data_access,2026-03-28T17:22:19+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.228,login.salesforce.com,Austin,US,macOS,Mozilla/5.0 macOS Safari,mobile,SSO,TLS1.3,19,0,False,0,benign,0.07121621,52.53,{},False
evt_test_00518,ConnectedAppOAuth,auth,2026-03-15T19:08:53+00:00,u_sales_traveler_002,traveling_sales_rep,172.16.4.158,login.salesforce.com,Austin,US,macOS,Mozilla/5.0 macOS Safari,mobile,SSO,TLS1.2,28,0,False,0,benign,0.06058524,46.94,{},False
evt_test_00519,DashboardView,data_access,2026-03-16T19:40:58+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.111,login.salesforce.com,New York,US,macOS,Mozilla/5.0 macOS Safari,mobile,OAuth,TLS1.3,1,0,False,0,benign,0.06695106,50.36,{},False
evt_test_00520,Logout,auth,2026-03-17T21:02:52+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.218,mycompany.my.salesforce.com,Boston,US,iOS,SalesforceMobileSDK iOS,laptop,OAuth,TLS1.3,19,0,False,0,benign,0.044660352,37.32,"{""login_hour_deviation"": {""circular_hour_distance"": 7.11, ""normal_mean_hour"": 13.89, ""value"": 21}}",False
evt_test_00521,Login,auth,2026-03-18T21:07:41+00:00,u_sales_traveler_002,traveling_sales_rep,172.16.4.233,mycompany.my.salesforce.com,New York,US,iOS,SalesforceMobileSDK iOS,laptop,OAuth,TLS1.2,20,0,False,0,benign,0.073008284,53.41,"{""login_hour_deviation"": {""circular_hour_distance"": 7.11, ""normal_mean_hour"": 13.89, ""value"": 21}}",False
evt_test_00522,Logout,auth,2026-03-19T08:38:47+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.1.153,mycompany.my.salesforce.com,New York,US,iOS,SalesforceMobileSDK iOS,laptop,OAuth,TLS1.3,32,0,False,0,benign,0.045996364,38.19,{},False
evt_test_00523,ConnectedAppOAuth,auth,2026-03-20T11:37:03+00:00,u_sales_traveler_002,traveling_sales_rep,10.20.0.86,mycompany.my.salesforce.com,New York,US,macOS,Mozilla/5.0 macOS Safari,mobile,SSO,TLS1.3,17,0,False,0,benign,0.050308954,40.92,{},False
